\x00\x00\x00\x00\xfeX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal
358,342,419,181
361,342,418,166
362,342,414,147
361,342,415,150
361,340,411,132
357,342,412,114
355,340,411,116
354,340,409,106
355,342,415,97
352,340,412,84
354,338,412,87
352,342,414,87
353,343,414,79
353,341,413,89
353,343,412,129
353,342,413,113
350,338,409,105
349,340,413,126
349,342,417,138
353,342,415,114
352,342,412,96
352,343,412,91
352,340,412,92
351,342,413,88
354,341,411,88
354,341,413,107
353,340,411,95
353,340,411,104
352,341,413,93
351,341,414,83
352,342,416,96
353,345,419,116
352,342,418,129
355,343,419,112
358,344,423,118
356,343,420,133
356,342,419,125
358,344,426,117
355,346,427,127
358,345,427,150
359,347,432,128
360,347,431,145
362,344,425,159
365,344,426,157
365,342,423,198
363,340,424,171
366,344,426,163
363,341,426,169
361,340,425,145
360,341,428,147
360,340,427,145
361,340,426,155
363,337,419,139
361,335,418,143
360,333,416,139
365,331,416,164
367,334,421,191
365,336,426,201
356,331,419,204
357,329,414,209
358,328,410,202
362,323,403,208
364,323,403,227
359,320,401,247
358,318,396,258
363,320,402,277
364,318,400,297
362,311,393,303
359,308,390,321
350,303,389,343
347,298,387,404
350,299,393,412
363,304,393,382
368,303,387,395
364,297,385,396
361,294,386,394
366,294,386,382
361,292,383,373
358,288,381,349
359,290,383,351
359,287,388,328
368,294,393,322
371,292,388,283
364,285,382,266
357,282,383,248
357,282,384,221
357,284,386,204
355,283,380,187
351,277,374,166
346,273,366,149
347,273,367,129
345,271,366,111
342,271,362,101
342,268,355,87
340,264,350,74
338,264,349,79
335,264,350,80
337,263,350,99
336,265,350,115
335,264,349,154
339,263,348,181
336,265,356,211
336,267,360,256
340,270,364,306
344,278,371,343
345,277,370,393
346,277,369,431
342,274,370,468
345,279,373,509
352,280,376,534
351,282,376,558
344,279,374,581
347,280,377,591
352,289,380,595
354,289,380,612
349,284,377,604
343,282,381,589
346,290,387,584
354,297,392,566
354,296,391,553
352,297,393,530
354,297,396,502
360,302,397,487
364,307,400,457
359,305,402,428
354,303,401,403
361,312,408,393
363,313,408,359
357,308,403,341
354,308,402,323
348,308,405,312
352,319,412,292
359,319,416,287
367,322,412,278
364,318,407,269
362,321,408,250
363,323,413,245
366,327,414,247
365,327,416,235
358,327,417,215
359,327,413,201
362,328,410,209
361,332,414,196
356,332,417,176
358,338,425,154
365,342,427,174
368,342,428,150
362,342,429,121
361,341,427,111
367,340,426,94
372,343,426,97
369,341,422,82
365,338,417,93
359,337,416,80
357,339,421,85
358,340,423,90
362,344,428,131
363,342,426,148
364,345,428,135
368,346,434,164
367,348,440,156
367,352,439,130
370,352,445,183
368,352,442,221
365,349,441,212
371,348,440,188
372,345,439,162
370,346,437,159
368,343,432,160
367,341,427,143
367,340,425,156
367,338,423,124
366,339,421,174
366,335,418,168
366,334,415,152
366,332,414,157
364,329,408,127
362,328,411,166
354,324,405,156
360,322,403,161
361,320,400,154
364,323,403,149
368,322,404,157
369,323,405,179
367,322,405,204
366,317,402,229
365,317,402,237
360,317,405,234
363,317,405,264
370,317,402,264
368,312,397,267
368,310,395,271
367,310,390,268
364,307,385,265
366,300,379,272
370,300,381,270
365,298,381,245
365,302,386,236
359,296,380,232
356,288,370,226
358,286,370,210
354,281,369,193
356,282,371,169
353,278,372,161
352,280,375,137
350,282,378,128
351,275,375,116
346,271,370,104
345,266,371,96
347,272,378,89
349,275,378,77
348,274,375,81
351,273,368,75
348,270,364,74
343,265,356,64
344,263,353,55
345,262,353,54
344,263,352,55
347,269,358,71
349,274,362,80
349,275,362,96
351,279,364,121
351,280,362,152
352,278,364,168
350,280,366,194
350,284,372,214
353,290,382,239
358,301,393,247
360,306,394,260
359,299,389,267
351,295,386,265
351,298,390,268
358,306,400,266
365,313,399,262
360,306,393,269
354,308,396,250
351,310,401,243
363,322,411,235
368,323,411,233
369,321,405,236
366,320,403,227
361,321,408,215
362,325,411,209
366,328,414,226
366,328,414,212
363,328,412,209
362,333,418,228
359,334,418,207
358,333,423,207
363,339,429,218
364,337,427,202
363,333,420,194
361,333,419,228
358,335,420,199
356,333,419,176
354,334,420,152
356,338,424,152
361,340,427,145
360,341,426,136
357,342,425,118
358,339,420,107
