75X axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
324,402,395,201,362,125
342,404,401,255,481,156
352,398,407,338,394,198
359,394,413,330,382,264
365,384,420,394,338,259
373,383,431,374,321,288
378,383,437,415,268,285
375,369,437,414,232,314
374,356,438,473,260,284
370,341,436,446,254,360
366,329,432,397,277,369
359,320,431,433,291,414
354,314,429,388,265,439
347,315,430,421,271,463
333,328,420,402,269,462
335,328,426,445,319,426
325,336,424,404,386,404
314,344,421,392,428,366
299,358,417,389,396,332
286,380,413,408,393,298
280,393,409,439,398,263
275,402,400,358,553,239
280,411,394,400,542,202
284,411,388,367,550,189
289,421,384,355,540,164
304,423,380,349,520,159
319,440,383,338,466,200
338,461,392,351,480,300
355,451,401,342,455,275
361,438,407,384,474,261
368,429,412,369,450,305
377,412,418,405,393,274
384,391,421,414,449,305
390,375,430,430,451,314
391,358,433,440,472,266
394,344,437,401,406,248
390,333,443,349,365,198
386,328,445,311,334,216
385,324,453,345,319,210
369,320,440,364,315,180
364,325,448,429,292,201
353,325,448,431,307,207
343,328,441,405,362,190
337,339,430,375,400,170
334,355,429,388,485,135
325,366,422,410,521,116
310,380,416,420,445,110
303,393,412,453,382,109
297,396,401,446,415,98
291,408,395,443,466,100
291,415,390,417,569,113
291,423,390,376,532,106
295,427,387,377,506,105
307,430,386,332,434,108
317,428,388,374,368,143
333,423,392,338,306,180
347,425,402,383,267,241
360,424,415,352,253,306
376,410,423,412,223,268
387,392,427,396,252,253
398,371,428,384,315,254
401,359,432,408,298,246
398,342,432,425,446,272
395,325,430,472,362,299
392,322,443,490,346,325
384,311,441,340,288,346
375,316,442,346,262,280
362,322,439,378,242,260
353,323,440,409,294,220
338,327,434,363,316,188
331,344,435,317,276,166
322,358,426,364,381,144
312,362,423,358,354,120
305,373,416,406,384,121
298,388,413,416,370,96
294,405,407,378,451,83
291,409,401,425,578,119
288,408,395,405,615,116
291,410,392,389,538,138
299,424,393,378,451,178
315,435,392,352,434,244
332,433,397,361,383,295
348,426,405,329,327,339
363,418,412,377,280,344
374,409,417,341,256,358
388,399,417,389,237,340
397,380,417,377,210,316
402,358,421,389,176,294
400,344,425,413,159,277
396,334,434,401,183,247
384,319,428,558,306,243
377,315,444,370,291,242
369,309,447,389,290,243
357,312,446,420,358,214
349,318,446,456,338,197
342,316,442,437,519,165
340,322,446,507,536,139
332,337,440,505,644,146
324,357,440,387,695,129
313,379,433,401,721,110
321,393,427,412,693,102
311,398,418,411,746,102
301,412,412,392,686,93
299,414,403,393,641,102
302,424,399,396,631,127
309,439,395,401,558,143
325,450,394,380,496,142
339,440,393,346,404,213
349,426,399,389,354,209
357,410,403,345,310,292
370,392,405,383,276,321
382,376,412,381,267,265
392,361,416,408,252,308
400,345,422,385,246,392
403,340,427,346,232,326
401,330,426,389,225,341
394,319,422,419,270,342
393,320,445,425,219,320
378,324,436,374,237,358
360,332,443,454,310,336
347,335,448,422,290,300
335,346,451,405,435,260
320,361,449,416,487,212
307,365,444,443,567,163
294,379,437,463,536,141
291,393,428,460,523,122
291,404,425,458,518,104
292,412,417,416,521,140
291,409,408,435,504,110
291,418,404,400,444,96
299,419,395,374,362,94
307,429,392,350,425,184
327,451,394,327,322,173
343,456,399,372,276,194
356,443,406,337,271,233
366,428,408,360,243,213
376,411,411,300,238,278
388,385,415,356,245,354
395,369,415,271,286,368
396,346,419,403,228,341
399,336,421,476,185,271
396,322,429,525,196,302
394,310,431,386,250,370
388,317,438,369,235,422
383,322,447,404,373,441
378,333,446,336,321,460
367,341,441,333,323,447
358,349,446,385,354,417
353,367,445,371,385,352
339,370,429,373,428,272
329,377,435,451,519,233
312,394,432,454,528,199
298,403,421,381,661,202
290,409,408,405,622,157
284,409,401,387,604,153
278,413,391,384,512,167
281,419,389,345,446,197
295,434,389,333,359,237
313,445,394,334,323,240
332,442,395,317,304,210
350,437,399,373,343,281
366,422,406,323,279,253
377,417,415,414,265,440
395,407,428,374,244,348
404,395,426,390,252,435
402,362,426,323,275,394
407,346,430,324,265,377
408,325,437,459,264,368
405,317,435,507,205,359
400,311,433,504,288,352
392,319,435,185,253,361
381,320,435,246,215,372
362,316,429,444,260,343
339,325,432,390,258,292
327,321,428,485,315,254
316,324,426,482,355,220
293,360,425,448,460,227
279,384,419,428,491,261
273,412,414,468,614,277
272,421,408,416,615,264
273,423,400,415,612,239
275,432,399,396,605,232
283,433,392,386,561,234
295,425,387,369,437,233
309,439,388,348,357,220
332,446,389,383,321,164
357,448,400,337,304,258
375,431,406,408,242,287
396,423,418,398,223,277
411,406,413,404,249,276
417,395,420,378,252,244
419,378,425,338,286,274
421,365,439,411,250,287
404,348,433,424,347,303
382,332,434,419,309,332
377,336,453,364,379,317
363,331,459,411,355,296
344,325,451,410,425,282
329,328,447,403,397,338
324,326,446,379,384,288
322,329,435,362,404,239
319,335,433,479,385,208
314,349,431,408,415,229
298,388,420,400,539,258
298,398,423,396,568,301
299,409,418,392,729,318
303,416,415,395,616,296
307,412,413,383,558,283
313,422,408,379,531,268
321,433,405,300,443,227
334,447,403,367,479,217
348,438,399,328,390,184
361,419,407,380,338,217
370,416,416,354,302,246
381,403,425,415,359,308
392,383,426,370,306,294
399,369,425,336,325,336
402,345,437,329,275,295
400,333,434,329,262,292
392,325,433,490,345,291
387,317,437,444,277,288
378,326,451,517,338,315
368,326,462,414,277,330
357,321,450,412,355,335
341,329,444,297,342,307
328,329,439,313,386,264
316,324,434,318,479,222
301,343,428,399,600,219
286,369,418,495,537,256
280,392,418,512,603,258
282,407,412,442,568,243
286,415,406,410,622,230
290,425,405,379,553,232
300,438,400,365,512,205
314,444,398,285,452,227
330,457,402,357,414,226
345,440,399,295,373,263
356,419,404,393,319,326
366,416,411,333,330,429
383,411,428,419,275,400
399,398,428,385,298,376
404,375,426,315,260,419
407,354,428,300,246,323
407,343,431,400,280,306
399,325,435,547,282,327
396,317,442,466,292,313
381,322,443,508,301,354
371,319,454,467,375,358
356,313,444,432,349,310
340,321,444,421,368,284
326,326,439,338,387,229
312,326,437,416,439,191
298,344,432,466,510,255
279,381,423,463,579,273
274,398,425,387,555,269
274,405,417,393,559,228
278,412,412,357,539,198
283,422,409,382,555,195
294,429,402,361,490,183
309,442,400,328,421,169
329,448,396,347,347,211
347,450,397,307,322,171
364,445,398,382,280,340
379,426,405,357,255,272
392,415,409,384,240,310
396,401,414,377,236,287
403,384,416,391,251,330
405,358,419,397,275,303
403,348,424,504,392,260
398,338,431,442,408,238
392,327,435,439,567,286
377,337,428,418,482,283
378,320,451,294,423,309
377,327,471,404,366,285
358,337,450,403,414,222
341,345,453,400,488,170
322,355,445,434,540,142
315,360,441,405,536,180
308,375,430,416,535,164
306,384,428,425,529,163
308,389,426,417,494,141
306,398,418,426,557,144
305,401,412,390,592,134
299,407,403,393,514,127
298,413,396,374,491,130
304,427,390,379,402,123
321,462,387,308,401,127
341,468,387,346,334,138
358,455,389,316,285,159
367,424,390,339,254,197
376,416,398,336,301,195
386,402,404,317,231,182
392,374,410,342,209,243
400,348,422,238,214,350
408,337,437,423,212,424
412,339,448,419,277,460
401,338,451,540,340,510
391,350,445,484,434,512
406,338,484,594,401,501
371,333,453,564,427,453
353,341,449,477,431,374
336,355,449,413,486,291
325,363,449,312,447,276
316,369,440,405,466,280
301,381,430,450,472,318
302,385,425,395,449,307
301,391,414,407,532,264
297,393,409,397,487,209
298,394,399,368,433,201
299,405,391,313,505,192
314,432,392,363,446,182
335,466,395,312,419,159
349,468,394,371,405,122
354,442,392,320,347,259
357,414,397,374,312,221
368,401,401,337,239,282
380,387,407,314,267,277
391,369,412,364,243,319
400,338,416,280,245,298
397,326,423,333,251,268
398,314,428,375,228,224
390,315,433,549,252,210
383,318,441,490,292,197
380,315,443,445,264,181
366,316,446,413,298,149
351,324,445,379,342,127
339,335,441,380,318,134
320,352,438,353,368,194
305,373,434,400,393,248
294,390,430,407,409,270
298,403,428,440,489,257
303,410,422,440,616,208
300,411,414,426,661,185
296,409,401,395,641,170
302,412,395,323,505,143
309,420,391,366,430,236
323,438,387,301,317,192
341,448,390,353,257,224
361,441,394,318,208,219
377,429,399,389,184,240
386,407,401,372,166,220
394,393,406,353,163,212
397,375,411,357,152,172
400,350,412,305,161,161
397,330,416,377,168,158
395,319,425,452,168,177
384,319,428,457,180,189
375,323,437,173,264,202
364,334,448,179,259,221
358,325,454,190,296,222
349,340,455,280,323,208
342,356,458,364,282,171
326,362,449,403,391,151
310,372,440,368,451,176
296,390,433,340,443,193
295,403,426,318,397,220
294,414,418,332,540,211
291,423,405,483,554,210
291,425,393,488,531,219
297,419,386,446,439,222
306,428,379,430,387,197
319,452,379,367,332,186
338,460,384,418,259,235
358,441,388,345,212,232
366,434,396,405,182,322
383,418,403,371,149,292
394,406,405,398,229,286
395,391,409,370,185,256
396,362,413,267,164,233
399,346,416,312,168,239
405,338,430,336,165,290
400,334,430,452,148,361
390,343,435,408,156,466
399,338,455,405,212,449
392,345,452,415,347,381
374,353,451,437,407,321
356,360,447,396,495,258
344,358,455,292,453,222
324,362,429,426,442,208
304,371,432,448,485,235
289,378,420,462,530,247
287,387,416,477,459,232
285,389,411,470,461,232
285,388,405,434,483,208
285,392,405,380,508,207
293,391,403,367,542,160
292,383,400,310,627,163
301,397,399,358,546,169
326,421,399,318,464,191
347,428,397,369,424,218
360,427,401,359,365,201
370,427,402,371,384,266
383,417,404,379,335,313
393,421,405,311,263,336
399,401,406,349,203,317
402,371,409,336,195,373
411,349,421,402,209,334
412,330,423,406,264,276
410,337,441,398,304,254
406,324,444,352,353,282
387,338,446,422,409,301
385,314,449,422,443,280
361,317,439,391,411,302
341,331,434,367,476,249
329,337,430,370,543,212
313,357,430,394,542,200
295,386,427,418,625,213
291,393,423,476,772,228
288,406,419,490,884,223
290,412,415,450,788,191
287,409,410,433,739,188
292,405,403,381,700,199
297,400,399,396,634,195
306,400,397,360,504,197
321,406,393,397,408,195
343,411,392,376,436,323
367,436,396,383,353,338
389,434,402,364,291,322
407,426,399,368,270,279
416,418,396,374,243,304
421,398,399,333,284,281
420,368,400,385,299,234
413,355,409,468,340,294
407,341,413,439,361,357
392,339,430,395,314,391
367,342,415,400,364,424
370,331,460,459,323,435
344,329,443,417,313,409
329,335,442,420,344,356
315,339,442,390,305,289
305,342,440,407,362,232
286,356,429,411,394,213
272,379,432,393,477,230
276,382,422,417,479,263
278,396,413,385,470,267
288,405,405,381,404,278
298,412,395,369,433,314
314,423,390,382,379,312
332,438,388,294,299,322
356,455,389,326,265,315
374,441,394,299,219,333
385,434,398,351,220,417
393,418,403,358,238,439
403,407,408,364,202,384
404,386,411,332,184,377
405,366,416,253,211,304
404,356,420,363,220,269
402,355,434,443,202,311
392,351,428,573,277,329
392,352,448,467,290,319
376,354,444,422,246,318
368,359,461,476,298,314
352,351,448,456,361,303
337,353,444,415,387,306
323,355,436,363,432,247
314,353,427,348,403,194
300,352,418,316,410,183
282,385,421,406,397,258
284,392,418,441,405,253
288,400,411,438,464,280
295,407,404,412,397,284
306,411,396,365,368,249
318,421,388,376,325,245
337,428,382,342,340,244
358,441,382,374,323,198
369,445,383,350,273,223
378,436,386,382,202,286
380,426,393,369,204,305
387,413,400,328,202,325
393,397,410,364,228,293
397,377,418,297,254,249
392,365,422,324,263,203
384,351,426,331,300,178
381,349,432,476,283,184
371,356,434,492,303,182
374,357,445,475,285,164
364,362,438,395,305,153
356,371,444,359,356,163
346,382,449,344,337,125
333,378,447,382,348,118
