\xf1X axis acceleration,Y axis acceleration,Bicep signal,Shoulder signal,Tricep signal,Forearm signal
543,479,7,41,30,14
539,482,9,40,26,14
540,481,9,38,31,13
540,482,10,35,30,13
540,482,8,33,29,13
539,481,10,36,35,14
540,482,9,34,35,14
540,481,8,30,32,13
540,481,8,30,32,13
540,482,9,34,33,12
540,481,12,32,30,13
539,481,10,33,28,13
540,481,9,35,29,13
540,482,10,40,25,13
540,481,10,35,26,13
541,482,8,34,23,12
541,481,8,34,20,15
540,481,7,38,21,13
541,481,7,34,28,14
541,481,7,33,27,13
540,481,6,34,28,13
541,481,6,40,29,13
540,480,6,39,28,12
541,481,6,35,26,13
539,480,6,36,25,13
540,481,7,37,24,13
540,481,5,35,26,14
540,481,5,32,24,14
540,482,5,36,25,15
541,481,5,33,21,15
539,481,6,30,22,14
540,481,5,31,21,14
539,481,6,28,20,13
540,481,6,29,19,14
539,482,5,29,18,14
540,481,6,34,22,13
540,482,6,34,24,12
540,481,6,33,24,13
540,481,6,32,26,12
540,481,6,35,24,13
540,481,6,32,23,12
540,482,6,31,22,13
539,481,5,33,21,12
541,481,6,30,20,13
539,481,5,29,21,13
541,481,5,29,24,14
539,481,6,28,23,13
541,481,5,27,20,13
539,481,6,29,22,13
540,481,5,34,21,14
540,481,6,31,20,14
540,482,6,35,19,15
540,482,5,35,19,15
540,482,5,35,20,16
540,481,6,41,20,17
539,481,6,39,25,17
540,481,5,42,24,17
540,482,5,38,26,18
540,482,5,39,32,22
539,481,5,43,31,24
539,482,5,45,29,25
539,482,5,42,26,24
540,483,6,39,29,21
540,482,6,38,26,21
540,482,6,33,27,18
540,480,6,36,27,17
540,482,6,35,26,16
540,481,6,32,25,15
540,482,6,32,26,15
540,480,6,40,25,15
541,481,6,38,21,14
540,481,6,33,20,14
540,481,6,34,22,14
540,481,6,34,24,13
541,481,5,39,25,13
539,481,6,37,26,13
540,482,6,34,25,13
540,482,6,34,30,13
540,482,6,34,35,13
539,482,4,31,29,13
540,483,5,28,26,13
539,482,5,30,26,13
540,482,6,29,26,14
538,482,6,27,23,14
539,482,6,28,27,14
540,482,6,33,31,13
539,482,5,32,34,14
540,482,6,31,36,14
539,481,6,31,39,14
538,482,6,35,38,13
540,482,6,33,34,13
540,482,6,28,37,13
540,481,5,30,37,13
541,482,5,29,35,13
540,482,6,28,34,12
539,482,5,25,32,12
539,482,5,25,27,13
539,483,6,25,24,13
540,481,6,24,31,13
540,482,6,26,30,13
540,482,5,27,29,13
540,482,6,27,32,13
539,482,5,25,34,14
540,482,6,30,32,15
