0\xfeX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
411,334,349,13,25,9
410,333,349,14,28,11
411,334,350,12,28,9
411,334,349,13,28,11
409,334,350,14,28,12
411,335,351,14,31,10
410,332,349,13,27,10
410,335,350,13,28,9
411,334,349,13,27,10
411,333,350,14,27,10
410,333,350,14,26,16
410,333,349,13,25,41
410,334,350,13,25,42
410,332,349,13,27,34
410,333,349,13,23,30
410,334,349,14,24,26
411,334,348,14,22,24
410,333,349,12,22,23
411,334,349,13,22,22
409,334,349,15,20,21
409,334,350,13,20,22
410,333,350,14,22,21
410,333,350,14,22,21
411,335,350,13,22,18
410,333,349,14,21,16
411,333,349,11,22,14
412,334,349,12,21,13
409,333,349,13,20,11
410,334,349,13,21,11
411,333,350,13,21,11
411,334,349,13,22,9
411,333,348,14,21,11
410,334,350,13,22,8
411,335,350,13,19,10
409,334,349,15,19,10
408,334,349,13,22,10
410,333,349,12,21,10
410,333,349,13,21,9
410,334,349,13,20,9
411,335,350,14,20,8
410,334,349,13,22,10
409,334,350,15,20,9
411,335,350,14,26,10
411,332,350,15,24,10
411,334,349,16,24,8
411,334,348,17,25,11
410,334,350,16,28,9
411,334,350,16,28,12
410,334,350,16,29,10
410,334,349,15,30,11
410,332,350,15,31,11
410,333,350,15,31,10
410,334,348,15,33,16
411,334,348,14,33,31
411,333,349,13,33,47
411,334,350,15,33,39
409,334,349,14,32,33
410,333,349,15,31,29
411,333,349,15,30,25
410,334,350,15,31,21
411,333,348,14,30,20
411,334,350,15,29,20
411,334,350,14,32,21
410,333,349,14,32,23
409,334,350,13,33,21
411,333,350,14,34,19
410,332,350,14,34,17
411,334,350,14,33,15
411,334,349,14,33,14
410,333,350,13,32,13
412,334,350,14,30,14
408,334,350,15,29,14
410,334,349,14,30,13
410,332,349,13,32,14
410,332,350,13,32,13
411,335,350,13,32,13
411,334,349,13,34,13
411,333,350,14,35,12
411,333,350,12,36,13
409,334,350,14,34,15
409,334,350,14,36,14
410,333,349,13,37,15
410,332,350,12,37,16
411,334,348,13,39,14
410,333,348,14,40,15
410,333,349,12,39,13
411,334,349,13,42,14
409,334,349,15,41,12
409,334,350,14,43,11
410,333,350,14,41,10
410,332,349,14,41,9
411,334,348,13,40,9
410,334,349,12,39,8
410,334,350,12,38,16
409,334,349,13,36,20
409,334,349,12,39,38
411,332,350,13,38,35
410,332,349,12,35,32
411,334,348,13,34,29
410,334,348,13,33,29
410,335,350,11,29,25
410,335,349,12,27,24
410,334,349,13,24,22
411,334,350,13,22,23
410,333,350,13,21,23
410,334,350,13,19,22
410,334,349,13,20,21
411,334,348,13,18,17
411,335,350,11,19,17
410,334,349,12,20,15
410,334,349,13,22,15
411,334,350,14,25,14
410,332,349,15,24,12
411,334,349,13,22,11
411,334,348,14,23,12
411,335,349,15,21,10
410,334,349,14,21,10
409,334,349,14,19,11
409,334,350,14,20,10
411,333,349,13,22,9
410,333,349,13,19,10
410,334,348,13,19,9
411,334,348,12,18,9
411,334,350,12,19,10
409,333,349,13,16,10
409,334,349,13,18,8
411,333,349,13,19,9
411,334,350,12,19,10
410,334,349,13,20,11
410,334,349,14,19,8
411,334,350,12,19,9
410,334,349,13,17,11
410,334,350,12,19,10
411,333,349,12,18,10
411,333,349,12,20,15
410,334,348,13,20,34
411,334,348,12,19,52
410,333,349,11,20,42
410,334,350,13,19,38
409,334,349,12,18,29
411,334,350,14,19,26
410,333,349,12,17,26
410,334,349,13,17,24
410,332,349,13,19,24
412,333,349,12,19,22
411,333,349,11,19,23
412,335,351,13,19,27
410,335,349,14,19,23
411,335,350,12,22,19
410,333,349,12,20,17
410,334,349,12,19,15
410,333,348,12,18,13
411,334,351,12,19,11
411,333,349,12,19,12
409,334,349,14,19,11
410,334,349,13,20,10
410,333,349,14,20,10
411,333,350,13,20,11
411,335,351,14,20,12
410,333,348,13,18,11
411,334,350,14,20,10
411,333,349,13,20,11
409,334,349,13,20,11
409,334,350,12,19,10
410,333,349,12,21,10
411,333,350,12,21,10
411,334,348,13,21,10
410,333,349,13,22,9
411,334,350,12,21,10
411,334,350,12,21,12
409,334,349,12,24,11
411,334,350,13,24,9
411,334,349,13,25,10
410,335,350,12,25,10
410,334,347,13,26,11
410,334,350,13,28,11
411,334,350,11,29,20
408,334,349,14,28,50
409,335,350,13,28,42
411,333,349,12,31,37
410,332,350,12,27,32
411,335,349,12,28,31
411,335,349,11,28,28
410,334,350,13,28,26
411,334,350,12,26,25
409,334,350,14,23,26
410,333,349,12,26,27
410,333,350,13,27,27
410,333,350,13,25,26
411,335,348,13,26,23
411,334,348,12,24,20
410,334,350,10,24,17
410,334,350,12,24,16
408,334,350,14,21,14
409,334,350,13,23,12
410,332,349,13,23,12
410,332,350,13,24,11
410,334,349,13,24,10
411,334,349,12,25,11
410,333,349,12,26,11
410,334,350,12,24,14
410,335,350,14,22,15
411,334,350,12,26,17
410,332,350,13,25,16
410,334,350,13,26,16
410,334,348,14,27,16
410,335,348,13,26,14
411,334,350,11,28,15
411,335,350,12,28,18
409,334,350,13,29,14
410,334,349,12,31,12
410,332,350,13,28,14
410,334,349,12,29,15
410,334,349,13,31,16
411,334,350,13,32,15
410,333,349,13,31,17
410,333,349,14,30,21
409,334,349,12,29,34
411,334,350,12,32,52
410,333,349,13,29,41
410,334,350,14,29,32
411,334,349,13,29,25
410,334,351,13,29,20
411,334,349,12,27,18
409,334,349,13,25,17
409,334,349,13,24,14
411,333,349,13,23,14
411,333,349,13,22,12
410,334,348,12,19,12
410,333,348,12,18,13
410,333,349,13,18,10
410,333,349,12,18,12
409,333,349,14,17,12
410,334,349,13,21,12
411,333,349,13,23,12
411,333,350,13,25,13
410,334,348,13,27,14
410,333,348,13,28,14
411,335,351,11,27,14
411,334,350,12,29,16
409,335,349,13,25,16
410,334,350,13,29,16
410,333,348,13,28,16
410,332,350,13,28,15
411,333,349,12,29,15
410,333,349,13,28,15
410,334,350,10,26,14
411,334,350,11,24,15
409,334,350,13,24,13
410,334,350,11,23,12
411,332,350,12,25,12
410,334,350,12,24,12
410,334,348,12,23,11
410,334,348,13,23,8
411,333,349,12,23,12
409,334,349,14,23,18
409,334,350,13,23,41
411,333,350,12,24,38
411,333,350,12,22,31
410,334,348,13,21,27
410,334,349,11,21,25
410,333,350,12,21,20
411,334,349,12,21,20
410,333,349,13,19,20
410,334,349,12,19,21
411,333,349,12,19,23
411,333,350,14,18,22
410,333,348,14,17,22
410,334,347,14,16,19
411,334,349,12,17,15
410,335,349,14,18,16
409,334,349,15,16,14
409,334,349,14,16,11
411,333,349,13,17,11
411,334,350,14,18,12
410,333,348,14,17,10
410,333,348,14,18,10
410,335,350,11,17,9
410,334,349,12,17,10
410,334,350,14,17,12
410,333,349,14,19,12
410,333,349,13,18,12
410,335,350,13,18,12
410,333,348,13,20,12
411,334,350,13,19,10
411,334,349,13,20,11
409,333,349,14,19,11
409,333,349,13,20,10
410,333,350,12,20,12
410,333,350,12,18,12
411,335,349,12,19,12
410,334,348,13,17,12
410,334,350,13,18,11
411,334,350,12,18,17
409,334,349,14,15,47
410,334,349,12,17,44
410,333,349,11,18,38
410,333,349,12,16,33
411,334,347,12,16,31
410,334,348,13,17,28
411,334,351,11,18,27
411,334,350,12,18,26
409,335,350,14,17,25
408,334,349,12,18,24
410,332,350,12,19,23
410,333,350,12,20,24
410,333,348,13,22,20
410,333,349,13,22,18
410,334,349,10,24,15
410,333,349,12,22,15
410,334,349,13,20,13
409,334,350,13,21,11
411,332,350,13,22,11
410,332,349,12,21,11
411,334,348,14,23,11
411,333,348,13,23,11
411,335,350,11,23,12
411,334,350,11,23,12
410,333,349,12,24,11
411,334,349,11,24,13
410,333,350,13,24,12
411,334,349,12,23,12
411,334,348,13,22,12
410,333,349,12,21,11
410,334,350,12,21,12
410,334,350,12,20,11
409,334,350,12,19,12
410,334,349,13,22,10
410,333,351,13,23,10
410,334,350,13,24,10
410,334,350,13,24,11
411,333,349,13,25,11
411,335,351,13,24,15
409,334,350,15,26,25
409,333,350,13,26,54
411,333,350,12,26,47
411,334,350,13,25,37
410,334,350,13,26,32
411,335,349,14,26,28
411,334,351,13,26,21
411,335,350,11,25,21
409,334,350,14,25,20
410,334,349,14,25,19
411,332,349,13,27,19
411,333,351,12,25,19
410,335,349,13,24,18
411,333,348,13,24,16
411,334,350,12,23,14
410,333,350,13,24,12
410,333,349,15,23,11
409,334,350,12,25,13
410,332,350,14,27,13
410,333,350,12,25,14
410,334,348,13,26,14
410,333,348,14,26,15
411,334,350,11,24,16
410,334,349,13,23,17
408,334,350,13,22,15
410,334,350,12,21,16
411,333,350,12,20,14
411,333,350,13,19,14
411,333,348,12,17,13
410,334,349,12,18,11
410,333,349,12,16,12
411,334,349,13,16,13
410,334,349,13,18,12
411,334,350,13,18,11
411,333,349,13,20,12
410,334,349,14,19,12
410,334,348,13,21,12
410,333,350,14,24,9
410,334,350,14,27,10
410,334,350,16,26,11
410,334,349,16,29,11
411,333,350,15,31,11
410,333,350,16,32,16
410,333,348,16,33,31
410,334,349,16,36,48
411,333,350,16,39,38
411,334,350,18,43,34
409,334,349,21,44,33
410,334,350,23,47,31
411,333,350,22,48,30
411,333,349,24,49,31
410,334,349,25,51,31
411,334,349,24,52,34
410,333,349,24,51,33
411,334,349,24,52,37
410,334,349,27,52,34
409,334,349,24,54,31
411,332,350,24,53,27
410,333,351,22,56,26
410,334,348,22,57,24
411,334,348,22,57,25
411,334,350,21,59,24
411,334,350,22,58,24
409,334,349,23,60,20
411,334,350,21,60,18
411,333,350,22,61,16
411,334,350,23,64,14
410,334,349,22,66,12
411,335,347,22,69,12
410,333,349,22,73,13
412,334,349,22,77,19
409,333,350,23,82,19
410,335,350,21,89,22
410,332,350,19,94,25
410,334,350,19,100,30
410,333,348,18,107,34
410,334,348,18,116,36
410,333,350,16,124,36
410,334,349,16,132,40
411,334,350,18,141,47
410,334,350,19,150,55
409,334,349,19,163,61
410,335,350,22,171,69
411,333,349,25,183,73
411,333,350,29,190,69
410,333,350,32,199,113
410,334,349,36,210,115
411,333,349,41,220,105
411,334,349,47,228,97
411,334,349,51,236,92
410,333,349,56,244,88
410,334,349,61,250,88
410,334,350,68,256,86
409,334,350,74,259,83
409,334,349,76,265,81
411,333,349,80,270,81
411,333,350,84,274,83
410,333,349,89,276,87
410,333,349,94,280,93
410,334,350,98,282,96
410,333,349,100,283,99
410,333,348,103,281,100
411,334,349,104,279,101
410,333,349,108,276,101
410,333,350,109,270,105
411,334,350,112,265,105
411,333,349,111,259,108
410,334,350,111,254,108
411,334,351,111,248,106
410,333,350,111,241,103
410,333,350,112,235,102
411,334,351,113,231,101
410,334,350,114,225,95
411,334,350,112,220,92
410,333,350,113,215,91
411,333,350,112,211,89
409,334,349,113,204,83
408,333,350,110,198,79
409,333,350,108,194,76
409,334,349,105,190,75
409,334,350,105,184,74
411,334,350,104,178,74
411,333,349,101,173,71
411,334,350,102,167,66
410,333,350,99,160,102
410,333,349,96,156,98
410,333,348,97,151,80
410,335,349,97,147,67
411,335,349,95,142,59
411,334,350,91,136,50
411,333,350,88,132,44
411,334,350,89,127,40
409,334,349,87,122,32
410,334,350,83,114,25
411,333,350,82,110,23
410,333,350,79,102,19
410,332,350,78,97,19
410,335,349,75,94,21
411,334,349,76,89,20
410,334,350,76,89,18
410,333,349,76,87,17
409,333,349,77,85,15
409,333,350,76,83,14
410,333,350,78,83,13
411,333,350,79,81,13
410,335,348,79,79,11
411,334,348,81,76,10
411,334,350,80,74,10
411,333,349,84,72,11
409,334,350,87,70,11
409,334,349,86,69,10
410,332,350,87,66,11
411,333,350,89,64,10
411,333,348,87,61,11
411,334,349,90,57,11
410,333,350,85,55,12
410,334,349,84,52,15
409,334,350,83,48,15
411,334,350,78,45,17
411,333,350,76,46,22
411,333,350,72,43,23
411,333,348,68,42,24
410,334,348,64,39,23
412,334,350,58,36,21
410,333,350,57,37,23
409,334,350,53,37,28
411,334,350,47,42,36
410,333,351,42,46,50
411,335,350,36,51,44
410,334,349,32,55,46
410,334,349,28,59,47
411,334,350,25,62,49
409,333,349,23,63,51
410,334,349,21,61,55
411,335,350,19,62,58
410,333,350,16,60,61
410,334,350,16,56,65
411,333,348,15,53,67
410,334,350,14,49,67
411,333,349,13,45,66
409,333,349,15,42,63
409,334,350,14,39,61
410,333,350,14,38,60
410,333,350,14,31,61
410,334,349,14,28,59
410,333,349,13,25,59
410,334,350,13,23,60
411,334,350,13,22,60
410,333,351,14,18,60
410,333,349,13,18,61
411,333,350,14,19,61
410,333,349,14,18,62
411,334,348,16,19,62
410,333,349,16,20,63
410,333,349,16,19,67
411,335,350,18,20,70
409,334,349,22,18,72
409,334,350,19,20,73
410,332,350,20,19,74
410,332,350,21,19,78
410,334,349,21,19,81
410,334,348,19,19,87
410,333,350,20,17,89
410,334,349,20,18,92
409,333,350,23,18,92
410,335,350,21,18,93
411,332,350,22,18,93
411,334,349,20,16,97
410,333,348,20,17,108
411,334,348,22,16,80
