8\xfcX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
347,341,417,15,63,138
348,341,419,16,64,136
347,341,418,15,63,135
346,341,417,15,62,132
346,342,419,15,64,129
347,338,417,15,63,127
347,339,418,15,61,124
347,340,418,16,60,122
347,343,417,15,61,120
347,340,418,14,60,118
347,340,417,15,58,115
347,341,418,14,59,112
347,340,417,15,58,113
347,340,418,14,58,116
345,342,418,15,55,120
345,342,417,14,58,119
347,342,419,13,61,118
347,338,419,13,55,114
347,340,418,13,56,111
348,341,418,13,57,107
347,342,416,14,57,107
348,340,417,14,56,109
347,339,418,14,56,81
348,342,418,13,56,82
346,342,419,14,52,90
346,341,419,13,53,96
347,340,418,13,53,102
347,339,417,14,52,105
348,339,418,14,55,109
348,341,417,14,53,110
346,341,418,14,53,113
347,342,416,14,54,114
348,341,418,12,54,114
347,340,417,13,52,114
347,340,418,13,54,111
346,342,419,15,54,109
346,341,417,13,53,105
347,341,418,14,55,104
347,340,418,13,51,102
347,340,418,14,52,99
347,341,417,12,50,98
346,341,417,14,50,96
348,341,418,12,49,93
348,340,418,13,48,91
346,341,419,15,45,88
345,341,418,13,45,87
348,340,418,12,44,84
347,339,419,13,44,83
347,341,416,13,46,83
347,340,418,13,45,81
347,341,418,12,46,80
347,341,418,14,46,80
346,341,419,13,44,83
346,340,418,12,45,86
347,338,418,14,44,83
347,340,419,13,42,82
347,341,416,13,43,79
347,339,416,14,41,72
348,340,419,13,39,72
347,342,417,14,38,79
346,341,419,14,39,74
347,340,419,14,40,64
347,339,418,15,40,64
347,343,418,13,38,70
347,341,418,14,37,78
347,340,418,14,35,77
348,341,419,14,34,82
346,340,418,14,33,85
347,341,418,14,34,86
347,342,418,14,34,91
346,340,418,14,33,91
347,341,417,13,31,89
348,340,417,13,31,89
346,341,418,13,29,83
347,340,417,13,28,79
346,340,418,15,29,78
345,341,417,12,28,74
347,340,418,14,31,73
346,340,418,12,29,71
348,341,418,14,29,69
347,341,417,13,31,68
348,342,419,11,31,62
346,341,418,13,31,61
345,340,418,13,31,59
346,341,418,12,31,55
347,340,418,13,32,55
346,340,418,12,31,53
347,340,417,12,30,52
347,341,417,12,29,51
347,341,418,11,29,52
347,341,418,13,30,52
345,340,418,13,29,49
345,339,417,14,30,50
346,340,418,13,31,56
347,341,419,11,29,58
348,342,418,13,31,57
347,341,418,12,32,57
347,339,417,12,33,53
347,340,418,13,31,51
347,342,418,12,32,49
347,342,418,13,33,53
348,340,418,13,36,54
347,340,418,13,35,58
346,340,417,12,33,53
347,341,417,12,32,56
348,342,418,11,33,58
348,341,418,13,34,61
345,341,419,13,32,61
347,341,418,11,35,62
347,340,418,13,33,66
347,341,419,13,34,69
346,341,417,13,32,70
346,341,419,13,32,68
346,340,417,12,33,67
347,341,420,14,33,67
