3\xffX axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
337,341,416,101,34,42
337,340,418,87,29,37
337,340,418,87,34,36
339,338,417,96,34,51
339,340,417,80,39,50
338,339,415,99,34,52
339,341,417,97,34,50
339,338,419,85,36,52
338,337,418,98,37,51
338,340,419,133,34,40
338,339,417,133,33,35
341,340,420,115,37,52
339,340,421,121,38,49
339,341,420,115,35,55
340,343,416,96,38,48
340,344,417,99,37,55
339,342,418,96,36,52
340,343,419,95,37,53
338,340,419,104,39,59
338,343,420,106,35,48
340,343,419,93,35,45
338,340,415,83,37,46
337,340,416,105,40,43
338,342,417,81,41,44
338,341,416,74,36,59
337,340,415,76,37,47
337,340,416,61,35,46
337,341,416,71,37,50
336,341,417,76,38,43
338,340,417,69,39,53
337,340,417,81,40,45
338,341,417,98,38,43
338,340,416,85,37,52
338,340,418,76,38,45
337,343,417,75,46,57
336,341,417,119,45,63
338,343,417,103,41,61
338,339,415,115,38,62
338,341,418,148,35,52
338,339,417,130,33,56
337,340,416,106,35,58
338,342,417,99,33,49
337,341,416,119,32,49
338,342,419,102,31,50
339,342,419,167,29,53
338,342,419,144,30,59
338,341,419,130,28,53
337,341,418,141,33,45
339,338,418,136,34,45
338,338,420,149,32,47
339,339,419,145,34,50
338,341,418,137,35,48
338,341,418,125,33,51
338,341,418,100,40,55
339,340,420,103,38,43
337,339,419,129,43,40
338,340,418,126,40,44
336,340,417,130,36,38
337,339,417,119,32,50
338,339,418,110,32,54
338,340,417,97,32,54
338,340,416,97,37,48
338,340,415,113,32,47
339,341,416,112,33,44
338,341,418,120,33,42
339,341,417,104,33,40
339,342,417,108,38,49
337,341,416,94,34,51
338,342,418,90,32,42
339,341,419,117,32,45
339,342,418,154,31,46
338,342,417,127,29,50
339,343,416,121,33,45
339,343,416,112,30,40
338,342,415,129,29,34
338,340,417,126,29,43
339,342,417,133,29,51
338,342,417,124,28,46
336,341,414,117,29,40
336,341,415,142,32,44
338,339,417,122,34,39
338,337,419,135,38,38
336,337,418,127,36,36
337,339,417,118,37,32
337,341,414,142,36,43
338,340,415,114,37,50
338,340,419,109,35,43
339,342,420,108,34,42
339,340,418,103,33,44
338,340,419,95,27,41
338,340,420,75,30,36
339,339,420,83,30,40
339,340,419,82,30,47
339,342,419,82,30,53
340,341,417,85,31,52
338,339,418,79,28,48
340,339,419,102,28,49
340,339,419,93,27,49
338,341,418,115,26,50
338,341,417,139,27,48
338,340,416,112,30,46
338,340,416,116,30,43
339,341,418,102,32,51
338,342,418,109,33,50
339,341,417,134,31,49
339,340,418,110,28,42
338,342,419,107,28,36
339,341,417,110,31,45
339,340,420,114,30,40
338,340,420,140,30,42
338,340,419,124,29,49
340,340,416,134,29,42
340,340,417,128,35,43
339,337,417,121,34,40
338,338,416,164,32,54
338,342,415,145,36,57
338,342,412,137,34,59
337,342,416,138,40,54
339,341,417,109,39,48
340,341,418,119,34,48
337,341,417,108,37,49
337,341,418,110,37,44
339,340,417,119,36,36
338,338,420,111,40,37
338,337,420,106,41,49
338,337,420,96,35,46
339,338,418,124,34,50
337,337,417,105,33,46
338,341,420,86,34,46
339,340,418,83,36,50
338,340,417,103,39,47
338,342,418,114,38,56
339,340,416,106,38,50
340,339,417,114,43,46
339,339,417,137,41,46
338,340,417,129,38,47
339,339,416,119,38,47
339,340,415,112,37,51
339,339,418,102,35,49
339,339,420,113,40,45
339,339,419,105,43,55
338,340,420,108,40,53
339,340,421,128,40,45
338,340,421,113,47,48
339,339,417,111,47,46
339,340,417,117,42,48
338,338,416,95,37,46
339,339,416,83,36,44
339,339,416,108,32,42
338,339,417,93,32,53
339,341,415,88,32,56
338,341,417,88,31,55
339,341,418,109,36,52
340,338,418,103,41,54
339,339,419,91,38,45
339,341,419,104,42,41
340,340,415,113,42,45
339,339,417,111,42,49
340,339,418,106,38,40
340,340,417,121,37,41
340,339,417,116,37,43
340,341,420,119,38,40
339,340,417,127,38,42
339,342,421,112,40,35
340,340,419,100,40,48
340,340,418,103,41,41
339,341,419,107,35,34
340,343,419,154,36,35
339,340,416,162,36,38
340,342,418,156,37,38
340,343,419,136,38,33
339,341,418,122,35,33
340,336,415,121,37,39
336,335,417,139,35,45
337,339,419,143,37,38
338,338,417,138,35,39
337,333,415,127,36,38
339,338,417,136,35,32
339,341,418,158,36,33
340,336,418,174,41,34
336,330,414,171,37,29
338,330,417,153,37,41
338,334,418,164,37,39
340,337,420,161,32,33
336,336,413,201,32,31
336,335,417,188,35,34
334,340,419,166,37,32
338,344,422,149,37,33
337,342,418,137,41,50
337,340,416,116,39,41
335,340,412,146,44,44
337,341,413,139,44,38
339,340,420,155,45,42
339,339,423,167,44,43
339,340,424,160,46,43
338,341,415,179,46,46
339,342,416,159,39,50
339,338,417,150,46,69
341,339,425,138,43,67
340,332,420,138,45,72
339,332,418,152,40,63
339,332,417,171,38,58
339,328,418,163,41,63
338,323,419,145,37,55
339,330,425,126,36,53
338,329,417,146,38,47
338,333,412,139,36,41
339,343,415,148,36,57
339,343,421,167,32,50
338,336,415,159,32,46
337,337,416,144,35,55
339,343,426,127,33,53
338,334,416,112,38,63
336,330,414,127,34,63
337,331,418,107,34,48
337,331,418,116,40,62
336,326,411,118,36,56
334,325,403,123,35,52
337,332,417,135,39,62
335,320,422,129,39,52
333,319,414,153,36,51
335,322,415,128,34,52
336,322,416,105,36,44
335,322,413,108,37,35
336,326,418,112,36,46
336,322,418,187,40,45
336,319,416,193,34,41
336,321,419,186,31,47
339,326,424,202,33,48
338,325,422,174,30,43
336,324,417,148,33,39
336,326,416,130,31,46
338,323,417,115,33,48
336,322,419,100,39,42
336,323,418,150,36,52
336,327,419,145,48,54
336,327,413,130,43,47
337,326,414,124,42,48
337,325,419,126,45,63
337,325,420,125,40,53
338,326,419,110,33,51
336,325,418,99,30,53
337,327,420,105,30,50
338,326,418,96,31,55
337,325,417,93,32,49
337,329,418,94,30,54
338,329,414,86,30,53
338,331,416,106,29,47
339,331,416,106,29,38
338,331,416,106,33,46
335,329,418,110,32,48
335,328,417,103,29,43
333,330,417,89,32,38
336,329,419,109,31,37
336,327,416,106,39,43
335,328,416,90,34,40
334,326,415,100,34,41
335,325,415,102,30,34
335,326,416,111,32,33
336,327,417,132,31,34
337,328,418,146,31,39
336,326,419,119,38,71
337,330,420,124,36,63
338,331,418,109,38,54
338,329,417,165,38,46
338,330,417,168,36,48
338,329,418,150,33,43
336,330,413,185,32,51
336,332,412,180,34,47
336,329,416,166,35,42
336,329,418,179,38,52
337,330,419,161,41,56
334,328,419,141,39,47
335,329,419,172,34,49
336,330,419,191,35,43
336,327,420,178,39,59
336,327,420,164,35,49
336,328,418,163,35,50
336,329,416,161,37,56
334,329,414,185,38,49
334,327,416,163,38,54
333,328,417,135,34,56
335,328,417,173,37,52
335,328,418,148,38,55
333,329,417,147,38,53
335,330,419,183,38,61
336,330,419,151,37,56
336,330,418,150,39,63
335,329,417,145,35,53
334,331,418,121,36,45
335,330,416,167,35,40
334,331,416,170,32,41
335,331,418,192,31,34
335,331,417,224,37,41
335,329,418,189,40,54
333,329,419,193,36,61
334,331,416,190,32,54
335,331,416,172,32,48
334,330,416,187,39,43
334,330,417,179,36,53
335,331,418,183,35,51
334,330,416,169,34,56
335,331,415,189,36,53
335,330,416,181,35,57
334,328,417,169,33,57
335,329,417,154,33,63
333,329,417,147,33,61
334,331,418,139,29,57
334,331,417,122,28,64
335,331,417,145,27,51
335,331,418,138,29,53
335,331,418,128,28,60
335,333,417,156,26,53
334,332,414,152,27,58
335,329,416,148,30,46
335,330,417,149,32,61
336,331,417,138,32,56
336,333,417,105,31,57
336,332,420,97,32,52
335,332,420,98,33,45
336,332,419,115,34,42
335,332,417,136,32,40
334,331,415,146,33,41
335,331,416,156,29,46
335,330,417,161,33,54
336,331,419,131,32,47
336,333,418,125,31,44
336,332,417,121,35,54
334,330,419,126,34,42
335,330,419,123,34,47
335,332,419,145,34,56
337,330,419,128,36,59
336,331,418,116,35,58
336,331,418,116,34,58
338,334,416,123,37,54
337,334,417,157,33,53
338,333,416,172,28,50
337,334,416,180,35,57
337,335,416,192,34,58
337,334,416,153,35,64
336,333,418,129,34,61
336,334,418,117,32,57
337,332,418,131,32,63
337,330,419,128,35,66
337,331,420,104,34,56
336,333,418,95,39,58
337,334,417,98,38,51
337,333,419,120,37,57
338,334,418,120,36,54
338,333,417,104,37,52
336,333,419,125,36,58
337,333,420,120,37,50
336,334,417,112,35,54
337,333,418,136,47,55
337,333,417,124,43,48
338,332,419,118,37,47
338,333,417,109,37,48
337,332,415,129,38,41
337,333,416,129,37,49
337,333,418,119,41,49
338,333,418,106,43,48
338,333,417,99,39,47
336,334,417,109,36,51
336,333,418,102,38,42
337,331,419,87,35,37
336,332,419,147,38,36
337,333,418,136,33,42
338,332,416,149,30,35
338,332,416,126,29,41
337,331,418,163,31,34
337,333,417,143,31,36
337,333,416,135,33,51
337,334,417,142,32,47
336,333,417,136,28,42
337,332,420,162,28,61
338,330,418,187,31,52
337,331,418,169,31,52
338,331,419,165,28,49
338,334,417,138,32,48
337,334,417,148,29,46
337,334,418,154,32,45
337,334,416,128,32,40
337,332,417,128,34,49
337,333,417,107,34,50
337,333,416,109,36,48
337,332,417,120,36,53
338,332,418,115,35,52
337,330,418,142,36,51
338,331,418,146,35,56
337,334,419,145,34,54
337,332,418,143,41,52
337,332,418,148,37,46
337,332,419,150,37,42
336,332,419,156,46,48
337,330,420,145,44,51
336,329,419,124,45,51
336,328,419,151,65,48
335,327,416,149,66,47
336,328,417,165,62,43
335,328,415,156,53,42
337,329,419,137,55,44
336,327,417,164,53,51
336,329,415,178,49,48
337,333,418,172,48,58
338,333,419,158,46,58
338,332,420,167,41,64
337,331,419,190,37,57
337,332,420,173,34,57
337,332,418,185,38,55
338,331,417,165,34,61
337,331,414,137,38,67
337,328,416,147,42,75
337,329,415,162,41,64
337,330,416,199,56,60
337,329,415,155,47,51
336,330,417,139,48,45
336,329,417,140,43,43
338,331,417,133,40,44
336,330,416,131,37,39
336,331,417,154,38,47
338,330,417,140,40,49
337,328,419,154,41,50
337,328,419,123,41,46
337,330,418,123,36,44
337,330,419,116,34,44
338,331,419,144,35,37
338,330,420,168,40,49
337,331,418,148,36,43
338,332,418,135,38,39
336,332,417,123,33,37
336,332,417,126,32,37
337,331,415,115,32,37
339,330,418,142,33,49
338,328,419,150,29,52
337,331,420,124,29,45
337,329,416,142,31,47
337,332,417,163,33,41
337,330,417,165,33,45
338,330,418,165,31,48
336,328,418,138,34,49
335,329,417,170,32,49
337,330,418,175,31,46
337,330,419,140,32,51
338,327,419,179,31,52
337,328,418,157,36,48
337,330,417,136,34,58
337,332,417,154,36,47
336,331,416,158,33,46
337,330,416,195,34,60
337,330,418,202,31,46
338,329,419,156,34,49
337,329,418,163,32,62
337,330,417,165,30,56
337,329,418,164,34,55
339,329,420,159,36,53
337,327,420,162,37,51
338,329,418,141,33,41
337,331,417,159,34,38
337,330,416,177,34,54
337,332,416,170,34,45
336,330,417,150,36,37
337,330,417,161,37,50
337,331,417,147,39,46
335,331,416,150,43,42
335,331,418,141,41,44
335,332,418,158,41,45
336,329,416,139,40,42
337,329,418,163,36,44
336,328,416,177,32,42
337,330,418,146,28,38
337,329,416,161,28,44
337,330,417,155,30,44
337,329,417,139,30,42
337,329,417,134,32,57
337,330,417,119,34,60
334,330,418,135,31,54
335,329,417,127,34,49
336,328,416,148,35,46
337,327,417,182,35,51
336,326,417,163,35,54
336,329,418,157,32,49
335,328,415,135,31,59
335,328,415,164,32,53
336,328,419,160,29,54
337,328,419,134,34,61
336,329,418,121,31,51
336,331,419,109,30,61
336,331,419,106,33,61
337,331,419,160,37,59
338,330,418,153,38,60
337,330,417,137,44,69
337,331,418,169,39,62
337,333,415,158,38,63
336,330,415,123,37,60
337,331,417,119,34,67
336,331,415,99,34,53
336,331,416,113,35,58
335,332,419,127,31,59
336,331,418,128,29,55
336,332,418,146,32,68
336,331,418,140,33,61
336,329,419,140,36,61
336,330,418,131,38,58
338,333,417,145,38,59
337,332,416,128,38,56
337,333,416,103,39,70
336,332,416,113,39,56
336,333,415,100,44,48
337,334,415,99,42,59
336,334,413,137,41,66
336,333,412,147,37,66
336,331,412,129,44,71
340,331,417,174,39,71
341,331,421,155,38,70
340,329,421,174,35,65
339,327,420,213,36,72
339,327,421,238,34,66
338,328,422,193,43,64
337,330,421,202,41,67
336,331,419,172,40,65
334,331,418,141,38,76
334,334,418,142,37,64
335,331,419,173,44,79
337,333,421,135,43,73
338,332,420,155,38,72
339,333,419,165,41,70
339,332,419,183,44,58
339,331,416,181,45,57
339,331,415,165,43,55
337,331,413,125,43,60
337,330,412,127,39,60
334,331,412,130,34,61
335,330,415,137,32,63
336,332,417,133,31,56
336,331,418,124,33,58
335,331,417,137,34,52
336,333,419,127,32,50
336,332,417,116,30,60
338,331,419,118,29,64
338,329,420,108,29,61
338,331,419,115,33,67
339,333,419,142,29,55
337,332,420,145,31,71
337,331,419,145,32,58
337,331,420,137,32,64
338,329,418,157,33,54
337,330,416,192,33,68
337,329,416,178,30,68
336,330,416,147,28,65
335,330,416,142,30,72
335,330,413,154,31,62
334,329,416,134,30,66
335,329,418,118,37,64
336,330,417,144,35,58
336,330,420,175,34,60
336,331,419,150,34,60
336,331,417,163,32,54
336,331,418,145,35,50
336,330,418,130,35,61
336,333,417,128,38,52
336,331,414,125,33,53
336,332,415,139,32,53
336,334,417,130,32,52
337,333,417,118,36,47
338,332,418,122,37,63
337,331,421,132,36,51
338,334,420,139,36,63
337,333,417,134,36,58
338,332,419,131,36,57
338,332,419,112,34,56
337,332,415,129,33,45
337,334,414,110,38,53
337,335,416,115,35,58
337,334,418,96,31,60
338,334,419,85,32,57
338,332,417,88,35,62
337,333,417,142,29,55
336,333,418,158,34,58
336,331,418,137,35,57
336,332,418,147,31,52
336,332,417,132,34,64
336,332,416,141,32,60
336,330,417,140,36,72
336,329,417,113,35,78
337,329,419,119,32,84
340,332,423,125,33,77
341,332,422,115,34,90
339,333,419,175,30,90
337,333,418,149,32,78
338,333,419,115,33,101
337,337,415,104,31,77
335,334,413,99,36,78
334,331,415,88,36,75
333,331,413,107,34,64
333,331,411,172,30,53
334,331,414,153,27,48
335,332,419,138,27,45
334,331,419,130,27,53
335,332,420,129,25,57
336,333,419,135,29,59
338,331,419,135,28,69
337,332,418,144,37,61
336,333,420,135,35,59
336,333,416,131,34,64
336,332,414,150,34,60
335,331,415,120,32,58
335,333,415,121,31,68
335,332,415,114,31,60
336,334,418,116,29,64
336,334,421,130,27,63
336,334,421,107,30,64
337,332,420,113,30,65
336,329,416,103,30,65
334,331,415,83,30,67
335,333,414,92,30,60
335,331,416,94,30,55
335,330,418,84,28,50
335,330,419,74,33,58
333,330,418,92,34,57
333,332,417,90,32,50
335,330,416,101,35,52
334,330,417,88,33,46
335,330,420,96,36,57
335,330,418,77,34,49
335,331,420,90,33,50
336,331,418,116,35,55
335,330,417,90,34,53
334,332,418,87,35,48
336,332,417,84,37,64
334,330,418,79,39,61
334,332,417,65,36,59
335,331,417,69,34,55
334,331,417,89,36,56
335,330,416,70,31,48
333,331,417,100,34,50
335,330,418,115,32,70
334,332,421,100,28,66
335,332,419,80,32,66
335,331,416,82,30,59
335,332,418,104,32,52
334,331,415,91,34,50
334,331,417,88,34,44
335,332,419,78,36,41
335,330,416,85,32,39
333,331,416,72,33,42
335,333,416,104,29,33
333,330,416,91,30,34
334,330,417,93,33,35
334,330,416,80,32,41
335,329,416,72,30,47
335,329,417,89,35,48
336,331,419,95,36,46
335,332,420,106,34,38
335,332,419,91,34,45
335,331,419,90,32,46
335,331,416,87,30,46
334,331,416,118,29,60
333,332,415,122,34,63
334,331,417,97,32,65
335,330,420,86,34,64
335,332,421,84,32,58
335,333,420,90,30,50
335,333,418,92,33,48
334,330,416,89,34,48
332,330,414,108,32,40
333,329,415,88,33,51
334,329,417,98,34,61
335,331,419,98,33,60
335,331,419,94,29,66
334,331,418,79,30,54
335,333,418,99,36,60
334,331,417,97,33,56
335,333,420,83,35,55
334,332,418,88,38,65
335,331,418,92,37,57
334,331,415,89,33,58
333,331,415,90,30,57
332,331,413,91,33,60
332,329,413,108,33,50
333,328,416,93,33,52
333,328,418,82,32,58
334,331,416,77,35,51
334,330,417,77,35,47
334,329,421,80,33,62
335,330,421,108,32,53
332,330,420,124,33,59
332,331,418,146,31,58
334,332,418,145,36,58
333,330,415,127,39,50
334,330,416,147,39,51
334,331,416,143,40,51
333,331,416,129,36,58
335,330,416,156,37,56
334,330,418,144,32,56
335,331,418,131,33,56
334,330,417,137,40,59
331,331,417,133,37,53
333,331,417,117,35,84
331,330,416,94,35,82
334,330,417,129,37,81
334,330,418,126,37,69
335,332,418,119,34,67
335,331,415,150,33,59
336,330,416,137,31,53
335,331,419,161,30,67
335,332,417,158,39,83
335,331,415,131,37,83
334,330,419,131,40,102
333,329,420,127,35,84
335,332,419,118,36,95
336,331,419,166,41,97
335,331,418,139,37,83
334,329,418,144,38,69
336,331,419,138,42,65
334,329,414,141,38,63
333,328,414,156,36,59
334,328,416,129,36,53
334,329,415,122,37,58
333,329,414,116,43,54
331,329,412,116,42,54
331,329,413,101,44,59
332,330,413,131,40,57
331,328,414,128,37,54
333,329,414,120,41,54
334,332,416,117,43,48
335,330,414,149,43,52
336,328,418,154,46,48
336,326,421,138,43,46
336,328,417,146,48,44
337,327,420,154,47,39
337,326,424,142,41,40
337,327,424,158,39,58
337,328,424,171,40,60
339,329,423,187,38,60
339,331,423,197,37,53
339,331,421,175,42,51
338,331,418,189,43,51
338,329,418,167,44,52
337,329,416,161,36,44
337,328,415,162,38,61
337,328,415,154,39,66
336,328,414,165,38,71
336,329,414,151,43,83
336,328,415,128,39,76
339,330,416,145,39,66
339,328,418,142,43,74
339,330,416,128,39,67
339,330,415,118,37,74
339,329,413,131,31,73
340,332,416,127,30,67
339,331,417,121,30,67
339,331,419,120,29,64
338,331,418,103,27,59
338,330,420,99,32,54
338,330,419,109,35,80
338,331,417,113,32,66
339,330,420,106,39,69
340,331,420,105,36,59
339,329,418,100,37,51
340,326,417,108,35,60
339,326,418,100,35,52
339,327,417,105,35,49
339,327,418,125,34,43
339,329,419,126,39,35
336,328,418,139,33,35
336,329,418,135,34,34
336,330,419,130,35,30
337,329,417,136,45,32
338,328,418,112,48,28
339,331,419,122,52,30
339,332,419,118,48,38
338,331,417,116,52,39
338,333,417,125,54,36
338,333,416,121,49,28
339,333,417,163,49,36
