\xf9X axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
356,339,436,115,190,27
499,258,613,132,170,32
308,383,407,120,201,31
346,341,424,138,205,31
356,323,420,110,214,42
357,338,435,97,189,43
333,342,463,85,172,41
338,337,488,72,171,38
345,339,456,134,203,40
347,335,434,115,182,37
341,330,433,107,177,38
342,339,430,89,165,34
341,340,431,104,174,41
338,338,431,85,168,35
339,340,418,101,201,43
345,337,428,94,187,40
341,338,429,72,192,39
337,340,418,60,202,35
339,339,405,57,198,44
342,335,394,44,173,45
342,330,390,39,164,40
338,329,387,45,152,41
341,328,387,53,149,45
342,322,388,64,162,40
334,321,375,68,155,40
335,318,362,68,163,39
334,314,357,76,148,57
335,314,348,64,145,48
343,315,351,73,165,46
345,316,360,70,146,44
346,320,371,70,141,47
346,329,384,71,174,43
337,334,393,91,162,40
347,340,410,93,166,42
346,339,425,93,160,45
354,341,435,92,138,41
354,339,441,78,173,43
346,340,442,85,170,37
345,339,438,81,189,38
350,337,432,66,176,34
343,337,421,73,161,31
342,340,422,66,141,33
341,343,428,79,134,37
341,344,430,71,156,57
344,347,428,62,175,56
341,345,423,75,171,63
344,346,425,79,191,57
311,389,440,81,221,46
344,348,422,82,215,44
346,337,415,88,248,43
348,341,425,91,224,43
355,335,442,88,202,42
337,343,467,79,239,38
338,341,460,80,205,43
352,342,449,71,208,39
347,335,436,62,202,39
348,337,421,80,177,36
345,338,428,73,176,37
341,334,444,78,200,42
340,345,431,80,212,48
344,339,422,76,203,53
344,341,406,66,217,48
349,338,414,67,205,50
343,336,412,72,209,62
338,336,410,69,195,57
340,335,411,75,232,53
337,335,420,76,207,48
335,336,418,61,269,47
334,334,410,66,272,45
328,333,405,62,286,45
331,331,399,66,274,40
334,328,390,65,261,42
336,324,380,61,264,49
337,323,378,53,256,43
336,323,373,47,240,36
336,325,368,48,257,55
340,323,364,68,216,49
346,324,358,75,208,44
348,326,366,68,230,41
346,331,378,90,233,46
342,335,391,74,221,46
326,340,401,72,227,44
325,344,405,88,245,46
337,335,423,97,266,47
334,334,432,95,253,46
335,338,421,76,234,52
338,341,425,63,232,53
336,336,431,78,218,50
345,342,422,75,234,50
352,336,422,60,219,52
345,339,428,54,201,49
342,338,433,63,195,48
341,341,423,79,193,42
352,341,419,66,183,42
