\x00\x00\x00\x00\x00\x00\x00X axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal,Shoulder signal,Pectoral signal
352,342,441,307,171,208
340,344,421,447,170,147
339,335,411,481,139,109
335,335,401,506,163,91
328,354,384,505,167,90
322,376,378,493,145,70
318,391,370,527,174,70
319,410,378,485,192,73
317,439,382,472,229,74
325,469,386,454,224,78
329,472,389,461,227,61
325,455,380,425,236,53
319,432,379,413,258,48
322,404,381,390,236,48
326,390,384,385,209,42
330,374,387,349,191,54
329,355,389,274,169,89
330,338,396,200,168,107
334,320,405,295,164,99
338,326,422,321,145,110
349,320,437,380,123,139
359,330,452,438,148,142
364,338,454,586,141,118
366,351,459,394,166,163
373,346,464,412,174,151
382,360,472,471,171,182
366,355,446,436,167,231
366,357,465,345,170,287
359,355,442,396,188,303
350,351,431,438,207,252
340,347,410,389,204,320
348,353,402,424,261,307
340,358,391,530,268,308
330,371,378,579,299,259
321,385,366,517,323,220
319,423,375,481,407,198
321,453,386,469,407,199
324,471,393,437,438,197
323,458,386,443,454,187
317,434,376,401,462,240
320,415,375,435,501,243
323,394,380,397,508,229
327,368,385,361,529,277
329,351,389,323,492,260
331,338,400,203,479,277
336,329,415,307,449,290
344,317,426,314,445,314
352,323,447,400,424,314
361,319,448,455,411,317
361,317,452,461,391,312
360,315,457,405,388,276
380,336,466,403,392,271
380,333,462,408,364,251
367,328,435,407,375,281
359,338,435,416,363,247
355,338,427,437,388,317
351,337,413,440,387,277
348,355,401,478,361,286
341,375,396,540,373,293
336,387,391,529,386,288
327,401,387,497,371,269
322,432,393,470,360,262
319,457,403,425,384,255
325,467,412,433,356,253
324,452,404,406,366,265
314,433,392,424,350,296
318,410,389,384,369,292
321,385,387,330,320,284
323,362,385,194,301,258
322,339,389,217,276,296
326,311,404,309,323,356
331,312,422,347,288,316
339,303,441,390,273,372
351,314,456,424,280,331
360,309,465,555,276,361
358,318,458,431,238,304
371,326,465,405,198,330
371,334,468,383,167,345
357,332,448,370,141,335
347,327,433,402,136,332
342,343,426,431,163,318
332,349,404,514,156,298
328,375,393,540,158,261
330,384,385,520,170,219
326,411,384,496,189,183
319,444,387,481,196,157
317,475,394,446,224,142
314,469,393,420,219,130
306,448,384,408,210,118
308,421,379,371,193,112
309,389,381,360,172,123
314,369,384,259,159,162
316,344,387,245,174,155
321,323,399,287,195,172
327,313,415,322,179,203
331,310,434,415,184,166
341,299,452,524,159,140
357,313,469,508,219,126
363,325,472,412,254,131
365,326,469,459,286,141
375,331,475,531,270,155
366,339,463,514,281,234
357,334,456,452,254,241
346,347,437,409,253,236
343,344,422,304,239,220
337,352,406,298,261,202
337,383,390,407,257,181
336,382,385,505,241,171
324,424,382,544,230,178
