X axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal
408,333,348,336
407,331,347,345
408,332,347,350
408,333,348,353
407,332,349,347
407,332,348,346
408,332,348,346
406,332,347,345
407,332,347,341
407,332,346,338
408,332,347,333
407,331,345,334
408,330,346,340
408,330,346,340
407,330,347,340
407,331,346,340
406,331,346,343
408,330,347,347
407,331,346,351
409,332,347,352
408,332,347,348
408,332,347,347
409,332,347,346
408,332,347,345
409,332,349,342
408,329,347,338
408,329,346,333
406,329,346,334
406,330,346,342
407,329,346,339
407,330,346,340
408,331,346,341
406,331,347,343
407,333,348,347
407,332,348,350
408,333,348,351
408,334,347,349
407,332,349,347
408,332,347,346
409,332,348,344
408,333,347,342
407,331,347,338
408,331,346,334
406,331,346,333
406,329,347,338
407,331,347,342
407,330,345,340
407,330,345,341
407,330,346,344
407,331,347,346
408,331,347,349
409,331,346,351
407,334,347,350
409,332,348,347
408,331,347,345
409,332,347,346
407,332,348,344
408,330,348,340
407,329,346,336
408,330,347,334
407,330,347,338
408,330,347,343
406,331,346,341
405,330,345,341
405,331,346,343
406,331,347,346
406,331,347,349
409,333,348,351
409,332,348,351
408,333,348,346
409,332,348,345
408,332,349,344
408,332,347,343
408,333,348,341
407,332,347,336
408,331,344,333
408,330,344,338
407,330,345,342
407,331,344,341
407,331,345,341
408,331,346,342
406,330,347,345
407,329,349,348
409,331,347,352
408,332,348,353
408,331,347,347
408,330,348,347
408,331,349,346
408,331,348,345
408,332,348,341
406,331,347,337
406,331,346,333
406,330,346,335
406,331,346,341
406,331,347,340
406,330,347,341
408,331,345,341
408,330,347,343
407,332,347,346
407,333,347,350
409,332,348,351
408,332,349,347
407,330,348,347
409,332,346,346
408,331,347,345
408,332,348,342
408,331,347,339
407,330,346,335
407,330,346,334
406,330,346,341
407,331,346,342
406,330,346,341
407,330,346,341
406,330,347,343
408,329,347,347
408,330,348,350
408,333,349,352
409,333,349,348
407,331,348,346
407,332,347,346
406,332,348,345
408,332,346,342
406,332,348,339
405,330,347,336
408,330,347,333
408,331,347,339
407,331,346,340
407,330,346,340
408,330,347,340
407,331,347,342
407,332,348,346
408,332,348,351
409,332,348,352
408,331,348,350
409,333,348,346
409,332,347,345
408,333,347,345
409,333,349,343
407,332,347,339
408,330,347,336
406,330,347,333
406,329,348,336
407,330,346,341
407,329,346,341
407,330,346,342
408,330,347,344
406,332,348,346
407,332,347,349
406,332,348,351
406,332,348,350
408,332,347,347
407,332,348,347
409,332,348,345
409,332,348,343
409,332,347,338
407,331,346,335
406,331,347,333
407,330,347,336
407,330,347,341
407,331,346,340
407,330,346,342
406,330,346,343
408,330,345,346
407,332,347,349
408,331,346,352
408,333,348,351
408,333,349,347
407,331,347,345
409,331,349,345
408,332,347,344
408,331,347,340
407,330,347,336
407,329,346,334
406,330,347,338
408,331,346,342
406,329,347,341
405,331,346,341
405,331,346,343
406,332,346,345
406,331,348,349
407,332,348,353
409,332,348,351
408,332,347,346
408,332,347,344
409,332,348,345
408,333,348,344
409,332,347,341
409,331,346,337
408,330,344,334
406,330,346,336
406,331,346,341
407,330,347,340
407,330,345,341
407,330,345,342
407,331,347,345
408,331,347,347
408,330,347,351
408,332,347,352
407,333,349,347
408,332,349,345
408,332,348,345
407,332,347,344
407,332,346,341
407,330,347,338
406,330,346,334
407,330,347,335
407,330,347,342
407,330,346,340
407,330,346,340
406,331,346,341
407,331,346,344
407,331,346,348
407,331,346,351
408,333,348,352
409,330,348,347
409,333,349,346
408,333,348,346
408,332,347,344
407,332,347,341
408,332,346,338
407,332,346,334
408,330,345,334
407,329,346,340
406,330,344,339
406,328,344,338
406,331,345,340
407,330,347,344
407,331,347,347
407,332,347,351
409,332,348,352
408,332,347,348
408,332,349,347
408,332,348,346
409,332,347,344
408,331,347,343
409,332,346,339
407,332,346,334
407,331,347,335
407,330,345,339
406,330,346,341
407,330,346,339
408,330,346,342
406,330,346,342
407,330,347,346
406,330,347,350
408,336,349,352
409,332,348,349
408,333,350,348
407,332,347,346
408,332,348,344
409,331,348,342
408,331,346,338
407,332,347,336
408,330,347,334
407,330,346,338
407,330,346,342
406,330,346,341
407,332,346,341
406,329,346,342
406,331,346,345
406,331,347,349
408,330,347,351
408,333,347,350
407,332,349,347
408,332,349,347
409,331,347,345
408,333,347,343
407,332,347,339
408,331,347,337
406,330,347,334
407,331,345,338
407,330,346,343
407,331,347,341
407,330,347,341
407,331,347,343
408,330,346,345
408,331,348,349
408,331,348,351
408,332,348,350
408,333,347,347
408,333,348,346
408,333,348,345
409,332,348,344
409,332,347,340
407,331,346,336
408,331,346,334
406,331,346,337
406,330,346,343
406,330,346,340
407,330,347,341
406,331,347,343
408,331,347,345
407,330,347,348
408,333,348,352
408,332,349,350
408,332,348,347
407,333,348,346
408,332,348,345
407,333,349,343
407,330,345,339
408,331,347,336
407,330,346,334
407,330,346,338
406,330,345,341
407,331,346,339
407,329,347,340
407,330,346,343
407,330,347,346
407,331,348,349
407,331,348,352
407,332,347,350
408,332,348,347
409,333,348,345
409,331,349,345
408,332,348,343
407,331,347,339
408,331,346,336
406,331,346,335
406,330,346,336
407,330,346,341
407,330,346,339
408,330,346,340
407,330,346,342
406,331,347,345
407,330,346,348
407,331,348,351
408,332,348,350
408,333,348,346
407,332,348,346
409,332,347,344
408,332,348,343
407,331,346,338
408,330,347,336
407,330,346,334
407,330,346,338
408,331,346,342
407,330,345,340
407,331,346,341
408,331,347,342
408,331,347,346
408,331,347,349
408,332,348,351
408,332,349,350
407,331,348,347
407,331,348,345
407,331,348,345
407,331,347,342
407,332,348,339
408,331,346,335
408,331,347,335
407,330,346,339
406,329,345,342
408,330,346,339
407,330,347,341
406,330,347,343
407,329,347,346
406,332,348,350
407,331,347,352
408,333,349,350
407,332,348,346
409,333,348,345
407,332,348,345
409,331,349,344
408,332,348,339
408,330,347,335
406,329,346,334
406,331,345,341
406,330,346,342
406,330,346,340
407,329,347,341
406,331,346,343
406,330,347,346
407,332,347,350
407,332,347,351
408,331,349,349
408,332,349,347
408,332,348,346
409,332,348,345
407,332,348,343
407,331,347,339
407,330,346,335
406,330,345,335
407,329,346,340
406,329,347,342
408,331,346,341
407,330,346,341
407,330,346,344
406,331,348,347
407,331,348,351
407,332,348,351
407,331,348,348
407,332,348,346
408,331,347,346
407,332,347,345
407,331,347,342
408,332,347,339
407,331,346,335
407,330,346,334
406,330,346,339
407,331,346,341
407,330,346,340
406,331,347,342
407,330,346,344
406,331,347,346
407,331,347,351
407,332,348,352
407,332,349,349
407,331,347,346
407,331,347,345
407,330,349,344
407,332,348,342
407,332,348,338
406,330,346,334
406,329,345,334
407,331,346,339
408,330,346,339
407,330,345,340
408,331,345,341
407,331,347,344
407,330,347,346
407,331,347,351
408,332,348,352
408,333,347,349
408,332,348,347
408,332,348,346
407,331,347,345
408,332,348,343
407,331,347,339
407,331,346,334
407,329,346,334
407,329,346,340
407,331,347,340
406,329,345,340
407,330,346,341
406,329,346,343
406,330,347,347
408,331,346,349
408,332,348,352
407,332,348,348
409,331,347,346
408,332,348,346
407,332,348,346
408,332,348,344
408,332,347,339
407,331,346,335
406,330,345,335
407,331,345,340
407,330,346,341
406,329,346,340
407,331,346,341
408,330,347,343
