X axis acceleration,Y axis acceleration,Z axis acceleration,Bicep signal
340,401,351,353
341,400,349,341
341,400,350,345
341,399,352,349
341,399,350,353
342,399,350,355
341,399,352,354
342,399,351,349
343,401,351,349
342,401,352,348
340,401,350,347
341,401,350,342
340,401,350,339
341,400,350,334
340,400,349,339
340,399,350,346
341,400,350,343
341,400,350,343
342,401,349,343
341,399,350,347
342,399,351,350
344,400,352,357
340,400,351,358
338,401,348,350
341,401,350,349
342,401,351,350
342,400,350,349
342,401,349,343
342,400,349,338
341,400,351,333
342,399,350,336
340,397,350,344
341,398,350,343
341,399,351,343
341,399,350,344
341,399,350,347
342,400,350,352
341,400,351,358
339,401,349,357
342,402,351,350
342,400,350,348
342,400,350,348
340,402,352,349
340,402,348,343
341,400,353,340
342,400,352,335
341,400,353,335
341,400,351,344
341,399,353,350
341,399,355,346
341,399,355,347
342,401,351,347
341,399,357,355
342,400,354,360
343,400,352,361
342,402,351,356
342,401,349,349
341,400,350,349
341,400,350,347
341,400,352,346
342,400,350,341
342,399,351,337
342,398,351,334
340,400,349,339
342,398,351,347
343,399,349,343
341,399,349,344
343,399,350,344
341,400,349,348
341,399,349,352
341,400,349,357
342,400,350,356
340,401,350,350
341,401,350,349
342,401,350,347
342,401,349,346
341,401,350,341
342,400,349,337
341,399,350,331
341,400,349,333
340,399,350,347
341,401,349,344
341,400,348,344
341,400,349,344
341,400,349,348
342,400,348,352
341,399,349,358
341,401,351,358
341,401,351,352
342,399,351,349
343,400,351,348
343,400,350,348
342,400,351,344
342,399,349,339
341,398,351,334
343,400,351,334
341,400,349,344
340,399,349,345
339,400,350,342
340,400,351,344
340,400,349,346
341,400,350,351
341,400,351,356
341,400,350,356
342,400,349,352
342,401,349,348
341,400,350,347
341,400,350,347
342,400,351,345
341,400,351,341
341,401,349,336
343,399,349,335
341,400,348,340
340,400,350,345
340,400,349,343
341,400,349,344
341,401,349,344
340,400,351,349
341,400,350,353
342,399,351,358
343,400,351,357
342,399,351,349
342,399,350,349
341,399,350,349
342,400,350,347
341,401,350,343
341,400,349,338
341,401,349,333
341,400,350,337
339,399,349,346
341,400,349,345
341,400,349,344
342,399,350,344
342,400,350,347
343,401,350,351
341,400,350,357
342,402,351,357
341,401,351,349
341,400,350,347
341,402,349,348
342,401,350,348
342,401,350,345
341,400,349,339
341,399,348,333
341,399,348,334
341,401,349,340
343,399,350,347
341,398,351,342
340,398,350,344
343,398,350,347
345,397,351,351
341,400,350,355
343,400,351,357
343,402,350,354
340,400,351,348
342,402,349,348
341,401,350,348
342,400,350,346
340,400,350,342
340,401,350,336
341,400,349,333
341,400,348,341
342,398,349,344
342,400,349,341
342,400,349,341
340,399,350,343
343,400,350,348
342,400,351,352
342,401,348,358
343,400,349,357
341,400,349,350
341,401,350,348
343,400,350,348
341,400,349,347
342,402,351,343
341,400,349,339
342,399,349,333
341,398,349,334
341,398,351,345
342,398,350,344
343,399,350,343
343,399,350,344
341,401,350,347
340,400,350,351
340,400,351,356
340,400,345,356
341,400,352,351
342,400,350,349
342,400,350,348
342,401,351,347
342,400,351,346
341,401,351,340
341,400,350,335
341,399,349,334
341,400,349,342
341,399,349,345
341,399,349,342
342,400,349,343
341,399,351,344
342,400,351,350
341,400,350,353
343,400,350,357
341,400,350,355
343,401,349,348
342,401,349,348
343,401,351,347
342,401,350,347
342,400,351,342
341,399,351,337
342,400,350,333
341,399,349,336
340,401,350,345
340,400,351,343
342,400,349,342
341,400,349,344
341,400,350,348
341,399,350,351
342,400,349,357
342,399,351,358
342,402,350,350
341,401,351,348
342,401,350,348
342,401,351,347
343,399,350,344
342,399,350,340
342,399,350,335
341,400,349,333
341,400,349,342
342,399,349,347
341,399,349,344
341,399,349,344
341,399,350,345
342,400,351,350
341,400,351,354
343,400,350,358
342,400,350,356
342,401,349,349
341,400,351,348
342,400,350,349
342,400,351,348
341,400,349,343
342,401,350,338
341,400,350,333
342,399,349,336
340,398,349,344
341,400,351,343
342,398,349,342
341,399,350,345
341,400,351,347
341,400,351,351
341,401,350,357
342,400,351,358
342,401,350,352
342,400,350,349
343,400,351,349
342,399,349,347
340,400,351,345
340,401,349,340
341,401,349,334
341,399,351,332
340,399,349,342
342,399,348,346
340,400,349,341
341,399,349,343
341,399,350,344
342,399,350,349
342,400,351,353
341,399,350,357
341,400,350,357
342,400,351,350
341,401,351,349
341,401,350,348
343,400,350,347
341,400,350,343
342,400,350,339
341,399,349,333
340,399,350,335
340,399,351,348
340,400,350,344
341,400,350,342
340,400,349,344
342,400,350,347
342,399,350,352
341,400,350,355
341,400,350,357
341,401,352,353
342,399,350,349
341,400,350,349
344,399,352,349
340,400,351,347
341,400,350,341
340,400,350,337
342,400,350,332
341,399,351,339
343,399,350,350
340,399,349,342
341,400,350,343
342,400,350,345
342,399,350,349
342,400,350,352
341,399,350,357
342,401,350,357
342,401,349,350
341,400,350,349
342,400,350,348
341,399,351,348
341,399,351,345
343,401,351,339
341,401,350,333
341,399,350,334
343,400,349,340
337,400,343,341
341,400,349,341
339,399,347,341
340,399,348,344
342,400,349,350
342,399,350,354
343,400,350,358
343,400,351,356
341,400,350,349
343,400,350,347
343,401,350,346
342,400,349,347
342,400,350,342
342,399,351,336
341,400,350,331
341,400,348,335
341,400,349,344
342,399,350,342
341,400,349,342
340,400,349,343
340,400,349,346
342,400,349,350
341,400,350,356
344,400,349,358
343,401,351,353
342,400,350,349
343,401,350,348
342,401,350,347
343,401,351,345
342,400,350,339
342,400,350,335
342,400,349,332
342,400,350,338
341,400,349,348
342,399,350,343
341,399,350,343
340,398,349,344
342,399,349,348
341,399,350,352
342,400,350,357
342,400,350,358
342,400,351,351
342,401,350,348
341,399,350,348
341,400,349,347
342,400,350,344
342,399,348,338
341,400,350,333
342,399,350,332
341,399,349,341
341,399,349,342
341,399,349,341
341,400,348,342
342,399,349,344
342,400,350,349
342,399,349,352
342,400,350,360
341,400,352,357
343,401,350,350
343,401,350,348
341,400,350,347
342,399,349,346
341,401,350,342
341,400,348,337
342,399,349,331
342,400,349,332
341,399,349,341
341,399,348,344
341,400,349,342
340,400,349,343
342,400,350,345
341,400,348,349
342,399,349,353
342,401,350,356
342,400,351,354
343,401,350,348
342,400,351,349
342,399,351,348
341,399,349,346
342,400,348,342
342,400,350,336
342,400,350,332
341,399,349,333
341,400,350,346
342,400,349,342
342,398,348,342
341,400,350,343
342,400,350,346
342,400,350,351
342,400,349,355
341,400,349,357
342,401,352,352
342,401,351,349
343,401,351,349
342,400,350,348
342,400,350,346
342,401,350,340
341,400,349,336
342,400,350,332
341,400,349,333
341,400,350,344
341,400,349,341
339,400,350,342
342,400,349,344
340,400,350,347
342,400,350,351
341,400,349,357
341,401,351,357
343,401,351,350
343,400,351,348
341,401,351,349
342,399,351,348
341,400,349,346
341,399,350,339
341,400,350,334
341,399,349,334
342,399,349,340
340,399,349,344
341,400,350,342
340,400,350,344
342,400,349,345
341,400,350,349
341,400,350,352
341,399,349,358
342,400,350,359
342,400,350,350
342,400,351,348
342,401,350,347
341,400,350,347
343,399,352,344
342,399,350,338
341,399,351,331
342,400,350,334
341,400,350,344
341,399,350,344
339,392,360,348
